"timestamp","temperature","humidity","co2","smoke"
2024-09-01,8.9,57.6,275,"0"
2024-09-01 00:01:00,9.6,45.2,265,"0"
2024-09-01 00:02:00,13.2,55.8,112,"0"
2024-09-01 00:03:00,10.2,55.3,174,"0"
2024-09-01 00:04:00,10.4,48.4,194,"0"
2024-09-01 00:05:00,13.6,50.8,80,"0"
2024-09-01 00:06:00,11.1,52.7,211,"0"
2024-09-01 00:07:00,7.6,50.4,-26,"0"
2024-09-01 00:08:00,8.8,52.4,-9,"0"
2024-09-01 00:09:00,9.3,49.3,115,"0"
2024-09-01 00:10:00,12.7,53.8,291,"0"
2024-09-01 00:11:00,11,55.2,186,"0"
2024-09-01 00:12:00,11.1,48.2,304,"0"
2024-09-01 00:13:00,10.5,57.6,132,"0"
2024-09-01 00:14:00,9.2,52.4,142,"0"
2024-09-01 00:15:00,13.9,59.2,49,"0"
2024-09-01 00:16:00,11.4,50.4,70,"0"
2024-09-01 00:17:00,6.5,50.8,239,"0"
2024-09-01 00:18:00,11.8,49.5,227,"0"
2024-09-01 00:19:00,9.5,55,105,"0"
2024-09-01 00:20:00,8.3,55.1,6,"0"
2024-09-01 00:21:00,15.6,67.9,1113,"1"
2024-09-01 00:22:00,8.4,54.2,147,"0"
2024-09-01 00:23:00,9.1,50.6,251,"0"
2024-09-01 00:24:00,9.3,52.1,176,"0"
2024-09-01 00:25:00,7.2,55.7,205,"0"
2024-09-01 00:26:00,12.3,51.6,333,"0"
2024-09-01 00:27:00,10.9,50.4,153,"0"
2024-09-01 00:28:00,8.4,51.8,68,"0"
2024-09-01 00:29:00,23.1,68.1,534,"1"
2024-09-01 00:30:00,11.5,56.4,106,"0"
2024-09-01 00:31:00,10.1,49.7,204,"0"
2024-09-01 00:32:00,12.5,54.7,124,"0"
2024-09-01 00:33:00,12.5,55.5,134,"0"
2024-09-01 00:34:00,12.4,52.6,203,"0"
2024-09-01 00:35:00,19.7,63.1,927,"1"
2024-09-01 00:36:00,11.9,56.9,95,"0"
2024-09-01 00:37:00,10.7,53.1,50,"0"
2024-09-01 00:38:00,10.2,52.8,57,"0"
2024-09-01 00:39:00,10.1,52.8,136,"0"
2024-09-01 00:40:00,9.5,52.2,123,"0"
2024-09-01 00:41:00,10.5,49.5,23,"0"
2024-09-01 00:42:00,8.4,55.1,159,"0"
2024-09-01 00:43:00,15.3,51.9,33,"0"
2024-09-01 00:44:00,13.4,56.8,74,"0"
2024-09-01 00:45:00,8.8,56.3,313,"0"
2024-09-01 00:46:00,10.2,58,239,"0"
2024-09-01 00:47:00,10.1,51.4,10,"0"
2024-09-01 00:48:00,12.6,55.9,83,"0"
2024-09-01 00:49:00,10.9,58.5,-5,"0"
2024-09-01 00:50:00,11.6,55.7,273,"0"
2024-09-01 00:51:00,11.1,60.2,213,"0"
2024-09-01 00:52:00,11.1,56.7,166,"0"
2024-09-01 00:53:00,13.9,56.5,267,"0"
2024-09-01 00:54:00,10.7,52.7,47,"0"
2024-09-01 00:55:00,14.2,49.9,253,"0"
2024-09-01 00:56:00,8.1,53.7,81,"0"
2024-09-01 00:57:00,12.4,51.9,141,"0"
2024-09-01 00:58:00,11.5,58.8,251,"0"
2024-09-01 00:59:00,11.7,53.6,188,"0"
2024-09-01 01:00:00,12.1,57.7,66,"0"
2024-09-01 01:01:00,10.3,54.8,-12,"0"
2024-09-01 01:02:00,10.7,45.3,91,"0"
2024-09-01 01:03:00,16.5,69.2,577,"1"
2024-09-01 01:04:00,14.4,59.5,922,"1"
2024-09-01 01:05:00,12,55.3,292,"0"
2024-09-01 01:06:00,12.3,50.7,232,"0"
2024-09-01 01:07:00,11.6,55.9,82,"0"
2024-09-01 01:08:00,13.3,52.7,105,"0"
2024-09-01 01:09:00,15.6,53.6,182,"0"
2024-09-01 01:10:00,10.5,50.7,209,"0"
2024-09-01 01:11:00,16.1,66.3,756,"1"
2024-09-01 01:12:00,13.6,54.2,89,"0"
2024-09-01 01:13:00,10.2,58.3,277,"0"
2024-09-01 01:14:00,10.2,58.6,321,"0"
2024-09-01 01:15:00,13.7,56.6,431,"0"
2024-09-01 01:16:00,19.3,72.9,1002,"1"
2024-09-01 01:17:00,9.2,60.3,-1,"0"
2024-09-01 01:18:00,12.1,59.7,340,"0"
2024-09-01 01:19:00,11.4,59.1,231,"0"
2024-09-01 01:20:00,11.7,50,-14,"0"
2024-09-01 01:21:00,12.5,53.5,384,"0"
2024-09-01 01:22:00,11,54.6,6,"0"
2024-09-01 01:23:00,13.1,56.1,188,"0"
2024-09-01 01:24:00,11.4,52.7,168,"0"
2024-09-01 01:25:00,12.5,56.2,153,"0"
2024-09-01 01:26:00,14,53.3,189,"0"
2024-09-01 01:27:00,12.7,58.6,206,"0"
2024-09-01 01:28:00,11.2,57.2,296,"0"
2024-09-01 01:29:00,14.2,52.5,345,"0"
2024-09-01 01:30:00,13.9,56.8,15,"0"
2024-09-01 01:31:00,13.1,56.4,268,"0"
2024-09-01 01:32:00,12.5,59.2,191,"0"
2024-09-01 01:33:00,10.7,53.3,133,"0"
2024-09-01 01:34:00,14.7,60.1,-54,"0"
2024-09-01 01:35:00,10.8,55,103,"0"
2024-09-01 01:36:00,16.4,59.6,91,"0"
2024-09-01 01:37:00,15.1,54.4,123,"0"
2024-09-01 01:38:00,11.6,56,32,"0"
2024-09-01 01:39:00,10.1,63,90,"0"
2024-09-01 01:40:00,10.7,62.3,22,"0"
2024-09-01 01:41:00,12.7,60.1,245,"0"
2024-09-01 01:42:00,11.7,55.9,118,"0"
2024-09-01 01:43:00,11.5,54.7,82,"0"
2024-09-01 01:44:00,10.3,57.7,146,"0"
2024-09-01 01:45:00,12.1,58.1,200,"0"
2024-09-01 01:46:00,10.7,54.4,70,"0"
2024-09-01 01:47:00,8.9,57.2,358,"0"
2024-09-01 01:48:00,19.4,60.3,1186,"1"
2024-09-01 01:49:00,14.1,59.7,269,"0"
2024-09-01 01:50:00,19.3,68.8,929,"1"
2024-09-01 01:51:00,13.6,59.6,114,"0"
2024-09-01 01:52:00,9.1,54.5,248,"0"
2024-09-01 01:53:00,12.3,59,65,"0"
2024-09-01 01:54:00,13.4,58.8,166,"0"
2024-09-01 01:55:00,13,57.7,-61,"0"
2024-09-01 01:56:00,12.7,57.9,215,"0"
2024-09-01 01:57:00,11.2,60.5,161,"0"
2024-09-01 01:58:00,10.8,60.5,200,"0"
2024-09-01 01:59:00,10.5,56.7,351,"0"
2024-09-01 02:00:00,22.5,74.1,1036,"1"
2024-09-01 02:01:00,10.6,60.4,119,"0"
2024-09-01 02:02:00,11.6,54.5,178,"0"
2024-09-01 02:03:00,12.1,56.5,99,"0"
2024-09-01 02:04:00,16.3,62.4,180,"0"
2024-09-01 02:05:00,11.3,55.6,209,"0"
2024-09-01 02:06:00,13.1,54.2,203,"0"
2024-09-01 02:07:00,12.8,59.1,6,"0"
2024-09-01 02:08:00,10.7,62.3,159,"0"
